千葉,1210017,国立大学法人 千葉大学千葉大学医学部附属病院,260-0856,千葉市中央区亥鼻１－８－１,全,●,,043-222-7171
千葉,1210025,独立行政法人 国立病院機構千葉医療センター,260-0042,千葉市中央区椿森４－１－２,全,●,,043-251-5311
千葉,1210033,独立行政法人 国立病院機構下総精神医療センター,266-0007,千葉市緑区辺田町５７８,内・心・精・神・外・リハ,,,043-291-1221
千葉,1210076,ＪＦＥスチール㈱千葉健康管理室診療所,260-0835,千葉市中央区川崎町１,外・内 ,,,043-262-2024
千葉,1210122,医療法人社団 和田医院,260-0018,千葉市中央区院内2-15-7,皮・外・胃・肛・泌,,,043-227-0361
千葉,1210131,医療法人福生会 斉藤労災病院,260-0005,千葉市中央区道場南１－１２－７,内・外・整,●,●,043-227-7437
千葉,1210149,医療法人浄光会千葉みなと病院,260-0024,千葉市中央区中央港１－２９－１,内･外･皮･肛･小･産,,●,043-241-5381
千葉,1210165,医療法人学而会 木村病院,260-0004,千葉市中央区東本町６－１９,精・神,●,,043-227-0547
千葉,1210173,医療法人社団普照会 井上記念病院,260-0027,千葉市中央区新田町１－１６,内・外・整,,,043-245-8800
千葉,1210203,医療法人社団稲正会 近藤医院,263-0031,千葉市稲毛区稲毛東３－６－３７,内・外・皮・耳・整,,,043-243-9096
千葉,1210238,独立行政法人 国立病院機構 下志津病院,284-0003,四街道市鹿渡９３４－５,内・精・神内・呼・消・循・ア・リユ・外・整・脳神・皮・リハ・歯・放・麻・小・その他,●,,043-422-2511
千葉,1210246,医療法人心和会 荒井医院,284-0005,四街道市四街道１－１４－８,内・外・小,,,043-422-2728
千葉,1210262,医療法人社団博仁会 眼科斉藤医院,290-0056,市原市五井２７７０,眼,,,0436-21-0213
千葉,1210271,旭硝子㈱千葉工場健康管理センター,290-0058,市原市五井海岸10,内・外,,,0436-23-3134
千葉,1210289,中山耳鼻咽喉科医院,290-0081,市原市五井中央西１－２－３,耳,,,0436-21-0304
